Time	Body_3X	Body_3Z	Body_3Y	Body_4X	Body_4Y	Body_4Z	
0.041	-2.802319	0	1.744706	-4.102747	2.492285	0	
0.042	-2.802479	0	1.744449	-4.102976	2.491908	0	
0.043	-2.802642	0	1.744185	-4.10321	2.491523	0	
0.044	-2.80281	0	1.743915	-4.103449	2.491128	0	
0.045	-2.802981	0	1.74364	-4.103694	2.490724	0	
0.046	-2.803157	0	1.743358	-4.103945	2.490311	0	
0.047	-2.803336	0	1.743069	-4.104201	2.489889	0	
0.048	-2.803519	0	1.742775	-4.104462	2.489458	0	
0.049	-2.803705	0	1.742475	-4.104729	2.489018	0	
0.05	-2.803896	0	1.742168	-4.105001	2.488569	0	
0.051	-2.80409	0	1.741855	-4.105278	2.488112	0	
0.052	-2.804288	0	1.741536	-4.105561	2.487645	0	
0.053	-2.80449	0	1.741211	-4.10585	2.487169	0	
0.054	-2.804695	0	1.74088	-4.106143	2.486684	0	
0.055	-2.804905	0	1.740543	-4.106442	2.48619	0	
0.056	-2.805118	0	1.740199	-4.106747	2.485687	0	
0.057	-2.805335	0	1.739849	-4.107057	2.485175	0	
0.058	-2.805556	0	1.739493	-4.107372	2.484654	0	
0.059	-2.80578	0	1.739131	-4.107692	2.484124	0	
0.06	-2.806008	0	1.738763	-4.108018	2.483585	0	
0.061	-2.80624	0	1.738389	-4.10835	2.483037	0	
0.062	-2.806476	0	1.738008	-4.108686	2.48248	0	
0.063	-2.806715	0	1.737621	-4.109028	2.481913	0	
0.064	-2.806958	0	1.737228	-4.109376	2.481338	0	
0.06500001	-2.807205	0	1.736829	-4.109729	2.480754	0	
0.066	-2.807456	0	1.736424	-4.110087	2.48016	0	
0.067	-2.807711	0	1.736012	-4.11045	2.479558	0	
0.068	-2.807969	0	1.735594	-4.110819	2.478946	0	
0.06900001	-2.808231	0	1.73517	-4.111194	2.478326	0	
0.07	-2.808497	0	1.73474	-4.111573	2.477696	0	
0.071	-2.808766	0	1.734304	-4.111958	2.477057	0	
0.072	-2.809039	0	1.733862	-4.112348	2.476409	0	
0.07300001	-2.809316	0	1.733413	-4.112743	2.475753	0	
0.074	-2.809597	0	1.732958	-4.113144	2.475087	0	
0.075	-2.809881	0	1.732497	-4.113551	2.474411	0	
0.07600001	-2.810169	0	1.73203	-4.113962	2.473727	0	
0.07700001	-2.810461	0	1.731556	-4.114379	2.473034	0	
0.078	-2.810757	0	1.731076	-4.114801	2.472332	0	
0.079	-2.811056	0	1.73059	-4.115228	2.47162	0	
0.08000001	-2.811359	0	1.730098	-4.115661	2.4709	0	
0.081	-2.811666	0	1.729599	-4.116099	2.47017	0	
0.082	-2.811976	0	1.729095	-4.116543	2.469431	0	
0.083	-2.812291	0	1.728584	-4.116992	2.468683	0	
0.08400001	-2.812608	0	1.728067	-4.117445	2.467926	0	
0.085	-2.81293	0	1.727543	-4.117905	2.46716	0	
0.086	-2.813255	0	1.727014	-4.118369	2.466384	0	
0.087	-2.813584	0	1.726478	-4.118839	2.4656	0	
0.08800001	-2.813917	0	1.725936	-4.119314	2.464807	0	
0.089	-2.814253	0	1.725387	-4.119794	2.464004	0	
0.09	-2.814593	0	1.724833	-4.120279	2.463192	0	
0.09100001	-2.814937	0	1.724272	-4.12077	2.462371	0	
0.09200001	-2.815284	0	1.723705	-4.121266	2.461541	0	
0.093	-2.815635	0	1.723131	-4.121767	2.460701	0	
0.094	-2.81599	0	1.722552	-4.122273	2.459853	0	
0.09500001	-2.816348	0	1.721966	-4.122785	2.458995	0	
0.096	-2.81671	0	1.721374	-4.123302	2.458128	0	
0.097	-2.817076	0	1.720775	-4.123824	2.457253	0	
0.098	-2.817445	0	1.720171	-4.124352	2.456367	0	
0.09900001	-2.817818	0	1.71956	-4.124884	2.455473	0	
0.1	-2.818195	0	1.718942	-4.125422	2.454569	0	
0.101	-2.818575	0	1.718319	-4.125965	2.453657	0	
0.102	-2.818959	0	1.717689	-4.126513	2.452735	0	
0.103	-2.819347	0	1.717053	-4.127067	2.451803	0	
0.104	-2.819738	0	1.716411	-4.127626	2.450863	0	
0.105	-2.820133	0	1.715762	-4.12819	2.449914	0	
0.106	-2.820531	0	1.715107	-4.128758	2.448955	0	
0.107	-2.820934	0	1.714446	-4.129333	2.447987	0	
0.108	-2.821339	0	1.713778	-4.129912	2.44701	0	
0.109	-2.821749	0	1.713104	-4.130497	2.446023	0	
0.11	-2.822162	0	1.712424	-4.131086	2.445027	0	
0.111	-2.822578	0	1.711737	-4.131681	2.444022	0	
0.112	-2.822998	0	1.711045	-4.132281	2.443008	0	
0.113	-2.823422	0	1.710345	-4.132886	2.441985	0	
0.114	-2.823849	0	1.70964	-4.133496	2.440952	0	
0.115	-2.824281	0	1.708928	-4.134111	2.43991	0	
0.116	-2.824715	0	1.70821	-4.134732	2.438859	0	
0.117	-2.825153	0	1.707485	-4.135357	2.437798	0	
0.118	-2.825595	0	1.706754	-4.135988	2.436728	0	
0.119	-2.826041	0	1.706017	-4.136624	2.435649	0	
0.12	-2.826489	0	1.705274	-4.137265	2.434561	0	
0.121	-2.826942	0	1.704524	-4.137911	2.433463	0	
0.122	-2.827398	0	1.703767	-4.138562	2.432356	0	
0.123	-2.827857	0	1.703005	-4.139218	2.43124	0	
0.124	-2.828321	0	1.702236	-4.139879	2.430115	0	
0.125	-2.828787	0	1.70146	-4.140545	2.428979	0	
0.126	-2.829257	0	1.700678	-4.141217	2.427835	0	
0.127	-2.829731	0	1.69989	-4.141893	2.426681	0	
0.128	-2.830208	0	1.699096	-4.142574	2.425518	0	
0.129	-2.830689	0	1.698295	-4.14326	2.424346	0	
0.13	-2.831173	0	1.697487	-4.143952	2.423164	0	
0.131	-2.831661	0	1.696674	-4.144649	2.421973	0	
0.132	-2.832153	0	1.695853	-4.14535	2.420773	0	
0.133	-2.832648	0	1.695027	-4.146057	2.419563	0	
0.134	-2.833146	0	1.694194	-4.146768	2.418344	0	
0.135	-2.833648	0	1.693355	-4.147484	2.417115	0	
0.136	-2.834153	0	1.692509	-4.148206	2.415877	0	
0.137	-2.834662	0	1.691657	-4.148932	2.41463	0	
0.138	-2.835174	0	1.690798	-4.149663	2.413373	0	
0.139	-2.83569	0	1.689933	-4.1504	2.412107	0	
0.14	-2.83621	0	1.689061	-4.151141	2.410831	0	
0.141	-2.836732	0	1.688183	-4.151887	2.409546	0	
0.142	-2.837259	0	1.687299	-4.152638	2.408252	0	
0.143	-2.837788	0	1.686408	-4.153395	2.406948	0	
0.144	-2.838321	0	1.685511	-4.154156	2.405635	0	
0.145	-2.838858	0	1.684607	-4.154922	2.404312	0	
0.146	-2.839398	0	1.683697	-4.155693	2.40298	0	
0.147	-2.839942	0	1.68278	-4.156468	2.401638	0	
0.148	-2.840489	0	1.681857	-4.157249	2.400287	0	
0.149	-2.841039	0	1.680927	-4.158034	2.398926	0	
0.15	-2.841593	0	1.679991	-4.158825	2.397557	0	
0.151	-2.84215	0	1.679049	-4.15962	2.396177	0	
0.152	-2.842711	0	1.678099	-4.16042	2.394788	0	
0.153	-2.843275	0	1.677144	-4.161225	2.393389	0	
0.154	-2.843843	0	1.676182	-4.162035	2.391981	0	
0.155	-2.844413	0	1.675213	-4.162849	2.390564	0	
0.156	-2.844988	0	1.674238	-4.163669	2.389137	0	
0.157	-2.845565	0	1.673256	-4.164494	2.3877	0	
0.158	-2.846146	0	1.672268	-4.165323	2.386254	0	
0.159	-2.846731	0	1.671273	-4.166157	2.384798	0	
0.16	-2.847318	0	1.670272	-4.166996	2.383332	0	
0.161	-2.847909	0	1.669264	-4.167839	2.381858	0	
0.162	-2.848504	0	1.66825	-4.168687	2.380373	0	
0.163	-2.849102	0	1.667229	-4.16954	2.378879	0	
0.164	-2.849703	0	1.666202	-4.170398	2.377376	0	
0.165	-2.850307	0	1.665168	-4.171261	2.375863	0	
0.166	-2.850915	0	1.664127	-4.172128	2.37434	0	
0.167	-2.851526	0	1.66308	-4.172999	2.372808	0	
0.168	-2.85214	0	1.662026	-4.173876	2.371265	0	
0.169	-2.852758	0	1.660966	-4.174757	2.369714	0	
0.17	-2.853379	0	1.659899	-4.175643	2.368153	0	
0.171	-2.854003	0	1.658826	-4.176534	2.366582	0	
0.172	-2.854631	0	1.657746	-4.177429	2.365001	0	
0.173	-2.855262	0	1.656659	-4.178329	2.363411	0	
0.174	-2.855896	0	1.655566	-4.179234	2.361811	0	
0.175	-2.856534	0	1.654466	-4.180143	2.360202	0	
0.176	-2.857175	0	1.65336	-4.181057	2.358582	0	
0.177	-2.857819	0	1.652246	-4.181976	2.356954	0	
0.178	-2.858466	0	1.651127	-4.182899	2.355315	0	
0.179	-2.859117	0	1.65	-4.183827	2.353667	0	
0.18	-2.85977	0	1.648867	-4.18476	2.352009	0	
0.181	-2.860427	0	1.647728	-4.185697	2.350341	0	
0.182	-2.861088	0	1.646581	-4.186639	2.348664	0	
0.183	-2.861751	0	1.645428	-4.187585	2.346977	0	
0.184	-2.862418	0	1.644269	-4.188536	2.34528	0	
0.185	-2.863088	0	1.643103	-4.189491	2.343574	0	
0.186	-2.863761	0	1.64193	-4.190451	2.341857	0	
0.187	-2.864437	0	1.64075	-4.191416	2.340131	0	
0.188	-2.865116	0	1.639564	-4.192385	2.338395	0	
0.189	-2.865799	0	1.638371	-4.193358	2.336649	0	
0.19	-2.866485	0	1.637171	-4.194336	2.334894	0	
0.191	-2.867174	0	1.635965	-4.195319	2.333129	0	
0.192	-2.867866	0	1.634752	-4.196306	2.331354	0	
0.193	-2.868561	0	1.633532	-4.197297	2.329569	0	
0.194	-2.869259	0	1.632305	-4.198293	2.327774	0	
0.195	-2.869961	0	1.631072	-4.199294	2.32597	0	
0.196	-2.870666	0	1.629832	-4.200298	2.324155	0	
0.197	-2.871373	0	1.628585	-4.201307	2.322331	0	
0.198	-2.872084	0	1.627332	-4.202321	2.320497	0	
0.199	-2.872798	0	1.626071	-4.203339	2.318653	0	
0.2	-2.873516	0	1.624804	-4.204361	2.316799	0	
0.201	-2.874236	0	1.623531	-4.205388	2.314936	0	
0.202	-2.874959	0	1.62225	-4.206419	2.313062	0	
0.203	-2.875685	0	1.620963	-4.207455	2.311179	0	
0.204	-2.876414	0	1.619669	-4.208495	2.309285	0	
0.205	-2.877147	0	1.618368	-4.209539	2.307382	0	
0.206	-2.877882	0	1.61706	-4.210588	2.305469	0	
0.207	-2.878621	0	1.615746	-4.211641	2.303546	0	
0.208	-2.879362	0	1.614424	-4.212698	2.301613	0	
0.209	-2.880107	0	1.613096	-4.213759	2.29967	0	
0.21	-2.880854	0	1.611761	-4.214825	2.297716	0	
0.211	-2.881605	0	1.61042	-4.215895	2.295753	0	
0.212	-2.882359	0	1.609071	-4.216969	2.293781	0	
0.213	-2.883115	0	1.607715	-4.218048	2.291798	0	
0.214	-2.883875	0	1.606353	-4.219131	2.289805	0	
0.215	-2.884637	0	1.604984	-4.220217	2.287802	0	
0.216	-2.885403	0	1.603608	-4.221308	2.285789	0	
0.217	-2.886171	0	1.602225	-4.222404	2.283766	0	
0.218	-2.886942	0	1.600836	-4.223503	2.281733	0	
0.219	-2.887717	0	1.599439	-4.224607	2.279689	0	
0.22	-2.888494	0	1.598036	-4.225714	2.277636	0	
0.221	-2.889274	0	1.596625	-4.226826	2.275573	0	
0.222	-2.890057	0	1.595208	-4.227942	2.273499	0	
0.223	-2.890843	0	1.593784	-4.229062	2.271416	0	
0.224	-2.891632	0	1.592353	-4.230186	2.269322	0	
0.225	-2.892424	0	1.590915	-4.231315	2.267219	0	
0.226	-2.893219	0	1.58947	-4.232447	2.265105	0	
0.227	-2.894016	0	1.588018	-4.233583	2.262981	0	
0.228	-2.894816	0	1.586559	-4.234724	2.260847	0	
0.229	-2.895619	0	1.585093	-4.235868	2.258702	0	
0.23	-2.896425	0	1.58362	-4.237016	2.256548	0	
0.231	-2.897233	0	1.58214	-4.238169	2.254383	0	
0.232	-2.898045	0	1.580654	-4.239325	2.252208	0	
0.233	-2.898859	0	1.57916	-4.240485	2.250023	0	
0.234	-2.899676	0	1.577659	-4.24165	2.247828	0	
0.235	-2.900496	0	1.576152	-4.242818	2.245623	0	
0.236	-2.901319	0	1.574637	-4.24399	2.243407	0	
0.237	-2.902144	0	1.573115	-4.245166	2.241181	0	
0.238	-2.902972	0	1.571586	-4.246346	2.238945	0	
0.239	-2.903803	0	1.570051	-4.247529	2.236699	0	
0.24	-2.904637	0	1.568508	-4.248717	2.234442	0	
0.241	-2.905473	0	1.566958	-4.249908	2.232175	0	
0.242	-2.906312	0	1.565401	-4.251104	2.229898	0	
0.243	-2.907154	0	1.563837	-4.252303	2.22761	0	
0.244	-2.907999	0	1.562266	-4.253506	2.225312	0	
0.245	-2.908846	0	1.560688	-4.254713	2.223004	0	
0.246	-2.909696	0	1.559103	-4.255923	2.220686	0	
0.247	-2.910548	0	1.557511	-4.257137	2.218357	0	
0.248	-2.911404	0	1.555912	-4.258355	2.216018	0	
0.249	-2.912261	0	1.554305	-4.259577	2.213668	0	
0.25	-2.913122	0	1.552692	-4.260802	2.211308	0	
0.251	-2.913985	0	1.551071	-4.262032	2.208938	0	
0.252	-2.914851	0	1.549444	-4.263265	2.206557	0	
0.253	-2.915719	0	1.547809	-4.264501	2.204166	0	
0.254	-2.91659	0	1.546167	-4.265741	2.201765	0	
0.255	-2.917464	0	1.544518	-4.266985	2.199353	0	
0.256	-2.91834	0	1.542862	-4.268233	2.196931	0	
0.257	-2.919219	0	1.541198	-4.269484	2.194498	0	
0.258	-2.9201	0	1.539528	-4.270739	2.192055	0	
0.259	-2.920984	0	1.53785	-4.271997	2.189601	0	
0.26	-2.92187	0	1.536165	-4.273259	2.187137	0	
0.261	-2.922759	0	1.534473	-4.274524	2.184663	0	
0.262	-2.92365	0	1.532774	-4.275793	2.182178	0	
0.263	-2.924544	0	1.531068	-4.277066	2.179682	0	
0.264	-2.925441	0	1.529354	-4.278342	2.177176	0	
0.265	-2.926339	0	1.527633	-4.279621	2.174659	0	
0.266	-2.927241	0	1.525905	-4.280904	2.172132	0	
0.267	-2.928144	0	1.52417	-4.282191	2.169594	0	
0.268	-2.929051	0	1.522428	-4.283481	2.167046	0	
0.269	-2.929959	0	1.520678	-4.284774	2.164487	0	
0.27	-2.93087	0	1.518921	-4.286071	2.161918	0	
0.271	-2.931784	0	1.517156	-4.287371	2.159338	0	
0.272	-2.9327	0	1.515385	-4.288675	2.156747	0	
0.273	-2.933618	0	1.513606	-4.289982	2.154146	0	
0.274	-2.934539	0	1.51182	-4.291292	2.151534	0	
0.275	-2.935462	0	1.510027	-4.292606	2.148912	0	
0.276	-2.936388	0	1.508226	-4.293923	2.146279	0	
0.277	-2.937316	0	1.506418	-4.295243	2.143635	0	
0.278	-2.938246	0	1.504603	-4.296567	2.140981	0	
0.279	-2.939178	0	1.50278	-4.297894	2.138316	0	
0.28	-2.940113	0	1.500951	-4.299224	2.13564	0	
0.281	-2.94105	0	1.499113	-4.300557	2.132953	0	
0.282	-2.941989	0	1.497269	-4.301894	2.130256	0	
0.283	-2.942931	0	1.495417	-4.303234	2.127548	0	
0.284	-2.943875	0	1.493558	-4.304576	2.12483	0	
0.285	-2.944821	0	1.491691	-4.305923	2.1221	0	
0.286	-2.94577	0	1.489817	-4.307271	2.11936	0	
0.287	-2.94672	0	1.487936	-4.308624	2.116609	0	
0.288	-2.947673	0	1.486047	-4.309979	2.113847	0	
0.289	-2.948628	0	1.484151	-4.311338	2.111075	0	
0.29	-2.949586	0	1.482247	-4.312699	2.108292	0	
0.291	-2.950545	0	1.480336	-4.314064	2.105498	0	
0.292	-2.951507	0	1.478418	-4.315432	2.102693	0	
0.293	-2.952471	0	1.476492	-4.316803	2.099877	0	
0.294	-2.953437	0	1.474559	-4.318176	2.09705	0	
0.295	-2.954405	0	1.472618	-4.319553	2.094213	0	
0.296	-2.955375	0	1.47067	-4.320932	2.091364	0	
0.297	-2.956347	0	1.468714	-4.322315	2.088505	0	
0.298	-2.957321	0	1.466751	-4.323701	2.085635	0	
0.299	-2.958298	0	1.464781	-4.325089	2.082754	0	
0.3	-2.959276	0	1.462803	-4.326481	2.079862	0	
0.301	-2.960257	0	1.460817	-4.327875	2.076959	0	
0.302	-2.96124	0	1.458824	-4.329272	2.074046	0	
0.303	-2.962224	0	1.456823	-4.330672	2.071121	0	
0.304	-2.963211	0	1.454815	-4.332075	2.068185	0	
0.305	-2.9642	0	1.4528	-4.33348	2.065239	0	
0.306	-2.965191	0	1.450777	-4.334888	2.062281	0	
0.307	-2.966183	0	1.448746	-4.336299	2.059313	0	
0.308	-2.967178	0	1.446708	-4.337713	2.056333	0	
0.309	-2.968175	0	1.444662	-4.33913	2.053342	0	
0.31	-2.969173	0	1.442608	-4.340549	2.05034	0	
0.311	-2.970174	0	1.440548	-4.341971	2.047328	0	
0.312	-2.971176	0	1.438479	-4.343395	2.044304	0	
0.313	-2.97218	0	1.436403	-4.344822	2.041269	0	
0.314	-2.973186	0	1.434319	-4.346252	2.038223	0	
0.315	-2.974194	0	1.432228	-4.347684	2.035166	0	
0.316	-2.975204	0	1.430129	-4.349119	2.032098	0	
0.317	-2.976216	0	1.428023	-4.350557	2.029018	0	
0.318	-2.977229	0	1.425908	-4.351997	2.025928	0	
0.319	-2.978245	0	1.423787	-4.353439	2.022826	0	
0.32	-2.979262	0	1.421657	-4.354884	2.019713	0	
0.321	-2.980281	0	1.41952	-4.356331	2.016589	0	
0.322	-2.981301	0	1.417375	-4.357781	2.013454	0	
0.323	-2.982324	0	1.415223	-4.359234	2.010308	0	
0.324	-2.983348	0	1.413062	-4.360689	2.007151	0	
0.325	-2.984374	0	1.410895	-4.362146	2.003982	0	
0.326	-2.985401	0	1.408719	-4.363605	2.000803	0	
0.327	-2.986431	0	1.406536	-4.365067	1.997611	0	
0.328	-2.987462	0	1.404345	-4.366531	1.994409	0	
0.329	-2.988494	0	1.402146	-4.367998	1.991195	0	
0.33	-2.989528	0	1.39994	-4.369466	1.98797	0	
0.331	-2.990564	0	1.397725	-4.370937	1.984734	0	
0.332	-2.991602	0	1.395504	-4.37241	1.981487	0	
0.333	-2.992641	0	1.393274	-4.373886	1.978228	0	
0.334	-2.993682	0	1.391036	-4.375363	1.974958	0	
0.335	-2.994724	0	1.388791	-4.376843	1.971676	0	
0.336	-2.995768	0	1.386538	-4.378325	1.968383	0	
0.337	-2.996813	0	1.384277	-4.379809	1.965079	0	
0.338	-2.99786	0	1.382009	-4.381295	1.961764	0	
0.339	-2.998909	0	1.379732	-4.382783	1.958437	0	
0.34	-2.999959	0	1.377448	-4.384274	1.955099	0	
0.341	-3.00101	0	1.375156	-4.385766	1.951749	0	
0.342	-3.002063	0	1.372856	-4.38726	1.948388	0	
0.343	-3.003117	0	1.370548	-4.388757	1.945015	0	
0.344	-3.004173	0	1.368233	-4.390255	1.941631	0	
0.345	-3.00523	0	1.365909	-4.391755	1.938236	0	
0.346	-3.006289	0	1.363578	-4.393257	1.934829	0	
0.347	-3.007349	0	1.361239	-4.394761	1.931411	0	
0.348	-3.00841	0	1.358892	-4.396267	1.927981	0	
0.349	-3.009473	0	1.356537	-4.397775	1.92454	0	
0.35	-3.010537	0	1.354174	-4.399284	1.921087	0	
0.351	-3.011603	0	1.351803	-4.400796	1.917622	0	
0.352	-3.012669	0	1.349424	-4.402309	1.914147	0	
0.353	-3.013737	0	1.347038	-4.403824	1.910659	0	
0.354	-3.014807	0	1.344643	-4.405341	1.90716	0	
0.355	-3.015877	0	1.342241	-4.406859	1.903649	0	
0.356	-3.016949	0	1.33983	-4.408379	1.900127	0	
0.357	-3.018022	0	1.337412	-4.409901	1.896593	0	
0.358	-3.019097	0	1.334985	-4.411424	1.893048	0	
0.359	-3.020172	0	1.332551	-4.412949	1.889491	0	
0.36	-3.021249	0	1.330109	-4.414475	1.885922	0	
0.361	-3.022327	0	1.327658	-4.416004	1.882342	0	
0.362	-3.023406	0	1.3252	-4.417533	1.87875	0	
0.363	-3.024486	0	1.322734	-4.419065	1.875146	0	
0.364	-3.025567	0	1.320259	-4.420597	1.871531	0	
0.365	-3.026649	0	1.317777	-4.422131	1.867904	0	
0.366	-3.027732	0	1.315286	-4.423666	1.864265	0	
0.367	-3.028817	0	1.312788	-4.425203	1.860615	0	
0.368	-3.029902	0	1.310281	-4.426742	1.856952	0	
0.369	-3.030989	0	1.307766	-4.428281	1.853279	0	
0.37	-3.032076	0	1.305244	-4.429822	1.849593	0	
0.371	-3.033165	0	1.302713	-4.431365	1.845895	0	
0.372	-3.034254	0	1.300174	-4.432908	1.842186	0	
0.373	-3.035344	0	1.297627	-4.434453	1.838465	0	
0.374	-3.036435	0	1.295072	-4.435999	1.834732	0	
0.375	-3.037528	0	1.292508	-4.437546	1.830988	0	
0.376	-3.038621	0	1.289937	-4.439095	1.827231	0	
0.377	-3.039715	0	1.287358	-4.440644	1.823463	0	
0.378	-3.04081	0	1.28477	-4.442195	1.819682	0	
0.379	-3.041905	0	1.282174	-4.443747	1.81589	0	
0.38	-3.043002	0	1.27957	-4.4453	1.812086	0	
0.381	-3.044099	0	1.276958	-4.446854	1.808271	0	
0.382	-3.045197	0	1.274338	-4.448409	1.804443	0	
0.383	-3.046296	0	1.271709	-4.449965	1.800603	0	
0.384	-3.047396	0	1.269072	-4.451521	1.796751	0	
0.385	-3.048496	0	1.266427	-4.453079	1.792888	0	
0.386	-3.049597	0	1.263774	-4.454638	1.789012	0	
0.387	-3.050699	0	1.261113	-4.456197	1.785125	0	
0.388	-3.051801	0	1.258443	-4.457757	1.781225	0	
0.389	-3.052904	0	1.255765	-4.459319	1.777314	0	
0.39	-3.054008	0	1.253079	-4.460881	1.77339	0	
0.391	-3.055112	0	1.250385	-4.462443	1.769455	0	
0.392	-3.056217	0	1.247682	-4.464007	1.765507	0	
0.393	-3.057322	0	1.244971	-4.465571	1.761548	0	
0.394	-3.058428	0	1.242252	-4.467136	1.757576	0	
0.395	-3.059535	0	1.239525	-4.468701	1.753592	0	
0.396	-3.060642	0	1.236789	-4.470267	1.749596	0	
0.397	-3.061749	0	1.234045	-4.471834	1.745589	0	
0.398	-3.062857	0	1.231292	-4.473402	1.741569	0	
0.399	-3.063966	0	1.228532	-4.474969	1.737537	0	
0.4	-3.065074	0	1.225763	-4.476538	1.733492	0	
0.401	-3.066184	0	1.222985	-4.478106	1.729436	0	
0.402	-3.067294	0	1.2202	-4.479676	1.725368	0	
0.403	-3.068404	0	1.217405	-4.481246	1.721287	0	
0.404	-3.069514	0	1.214603	-4.482816	1.717194	0	
0.405	-3.070625	0	1.211792	-4.484386	1.713089	0	
0.406	-3.071736	0	1.208973	-4.485957	1.708972	0	
0.407	-3.072848	0	1.206145	-4.487528	1.704843	0	
0.408	-3.07396	0	1.203309	-4.489099	1.700701	0	
0.409	-3.075072	0	1.200465	-4.490671	1.696547	0	
0.41	-3.076184	0	1.197612	-4.492242	1.692381	0	
0.411	-3.077296	0	1.194751	-4.493814	1.688203	0	
0.412	-3.078409	0	1.191881	-4.495387	1.684012	0	
0.413	-3.079522	0	1.189003	-4.496959	1.67981	0	
0.414	-3.080635	0	1.186117	-4.498531	1.675594	0	
0.415	-3.081748	0	1.183222	-4.500104	1.671367	0	
0.416	-3.082861	0	1.180318	-4.501677	1.667127	0	
0.417	-3.083975	0	1.177406	-4.503249	1.662875	0	
0.418	-3.085088	0	1.174486	-4.504822	1.658611	0	
0.419	-3.086202	0	1.171557	-4.506394	1.654334	0	
0.42	-3.087316	0	1.16862	-4.507967	1.650045	0	
0.421	-3.088429	0	1.165674	-4.509539	1.645744	0	
0.422	-3.089543	0	1.162719	-4.511111	1.64143	0	
0.423	-3.090657	0	1.159756	-4.512683	1.637104	0	
0.424	-3.09177	0	1.156785	-4.514255	1.632765	0	
0.425	-3.092883	0	1.153805	-4.515826	1.628414	0	
0.426	-3.093997	0	1.150816	-4.517397	1.624051	0	
0.427	-3.09511	0	1.147819	-4.518968	1.619675	0	
0.428	-3.096223	0	1.144814	-4.520539	1.615287	0	
0.429	-3.097336	0	1.141799	-4.522109	1.610886	0	
0.43	-3.098449	0	1.138777	-4.523679	1.606473	0	
0.431	-3.099561	0	1.135745	-4.525248	1.602047	0	
0.432	-3.100674	0	1.132705	-4.526817	1.597609	0	
0.433	-3.101786	0	1.129657	-4.528385	1.593158	0	
0.434	-3.102898	0	1.1266	-4.529953	1.588695	0	
0.435	-3.104009	0	1.123534	-4.53152	1.584219	0	
0.436	-3.105121	0	1.120459	-4.533087	1.579731	0	
0.437	-3.106232	0	1.117376	-4.534654	1.57523	0	
0.438	-3.107342	0	1.114285	-4.536219	1.570717	0	
0.439	-3.108452	0	1.111184	-4.537784	1.566191	0	
0.44	-3.109562	0	1.108075	-4.539348	1.561653	0	
0.441	-3.110672	0	1.104958	-4.540912	1.557102	0	
0.442	-3.11178	0	1.101832	-4.542474	1.552538	0	
0.443	-3.112889	0	1.098697	-4.544036	1.547962	0	
0.444	-3.113997	0	1.095553	-4.545597	1.543373	0	
0.445	-3.115104	0	1.092401	-4.547157	1.538772	0	
0.446	-3.116211	0	1.08924	-4.548716	1.534157	0	
0.447	-3.117317	0	1.08607	-4.550274	1.529531	0	
